Year,Gender,Group,TR,Tem,n,BL
1999,Female,F1,3.3060109289617500,18.28577957,8,83.5
1999,Female,F2,3.3060109289617500,18.28577957,16,91.4375
1999,Female,F3,3.3060109289617500,18.28577957,27,96.962962962963
1999,Male,M1,3.3060109289617500,18.28577957,9,82.7777777777778
1999,Male,M2,3.3060109289617500,18.28577957,4,96.75
1999,Male,M3,3.3060109289617500,18.28577957,19,102.789473684211
2000,Female,F1,4.6279069767441900,18.12255376,29,82.9655172413793
2000,Female,F2,4.6279069767441900,18.12255376,16,92.375
2000,Female,F3,4.6279069767441900,18.12255376,21,97.9523809523809
2000,Male,M1,4.6279069767441900,18.12255376,27,83.2962962962963
2000,Male,M2,4.6279069767441900,18.12255376,23,91.9130434782609
2000,Male,M3,4.6279069767441900,18.12255376,35,98.4285714285714
2001,Female,F1,4.1738013698630100,18.09040323,26,84.8076923076923
2001,Female,F2,4.1738013698630100,18.09040323,20,94.15
2001,Female,F3,4.1738013698630100,18.09040323,16,102.3125
2001,Male,M1,4.1738013698630100,18.09040323,36,85.0833333333333
2001,Male,M2,4.1738013698630100,18.09040323,15,94.3333333333333
2001,Male,M3,4.1738013698630100,18.09040323,26,101.269230769231
2002,Female,F1,3.5856573705179300,18.61325269,21,82.3809523809524
2002,Female,F2,3.5856573705179300,18.61325269,16,90.9375
2002,Female,F3,3.5856573705179300,18.61325269,13,96.6153846153846
2002,Male,M1,3.5856573705179300,18.61325269,38,84.5263157894737
2002,Male,M2,3.5856573705179300,18.61325269,12,92.3333333333333
2002,Male,M3,3.5856573705179300,18.61325269,26,98.8846153846154
2003,Female,F1,3.0752212389380500,17.92427419,22,81.6363636363636
2003,Female,F2,3.0752212389380500,17.92427419,15,88.8666666666667
2003,Female,F3,3.0752212389380500,17.92427419,19,95.3157894736842
2003,Male,M1,3.0752212389380500,17.92427419,22,82.5
2003,Male,M2,3.0752212389380500,17.92427419,17,87.2941176470588
2003,Male,M3,3.0752212389380500,17.92427419,16,95.8125
2004,Female,F1,3.9285714285714300,18.27841398,31,82.4838709677419
2004,Female,F2,3.9285714285714300,18.27841398,17,92.8235294117647
2004,Female,F3,3.9285714285714300,18.27841398,18,100
2004,Male,M1,3.9285714285714300,18.27841398,19,84.3157894736842
2004,Male,M2,3.9285714285714300,18.27841398,20,94.6
2004,Male,M3,3.9285714285714300,18.27841398,37,101.945945945946
2005,Female,F1,5.5555555555555600,18.70645161,40,83.3
2005,Female,F2,5.5555555555555600,18.70645161,21,91.3809523809524
2005,Female,F3,5.5555555555555600,18.70645161,23,99.8260869565217
2005,Male,M1,5.5555555555555600,18.70645161,37,84.3783783783784
2005,Male,M2,5.5555555555555600,18.70645161,33,92.4242424242424
2005,Male,M3,5.5555555555555600,18.70645161,40,102.55
2006,Female,F1,5.2127659574468100,18.93959677,43,83.6046511627907
2006,Female,F2,5.2127659574468100,18.93959677,25,93.24
2006,Female,F3,5.2127659574468100,18.93959677,19,97.1052631578947
2006,Male,M1,5.2127659574468100,18.93959677,35,85.8
2006,Male,M2,5.2127659574468100,18.93959677,37,92.7027027027027
2006,Male,M3,5.2127659574468100,18.93959677,36,99.2222222222222
2007,Female,F1,3.437500,18.74787634,20,84.3
2007,Female,F2,3.437500,18.74787634,21,89.0952380952381
2007,Female,F3,3.437500,18.74787634,15,95.1333333333333
2007,Male,M1,3.437500,18.74787634,27,86.6666666666667
2007,Male,M2,3.437500,18.74787634,28,93.0357142857143
2007,Male,M3,3.437500,18.74787634,16,98.125
2008,Female,F1,2.7291666666666700,18.85486559,15,86
2008,Female,F2,2.7291666666666700,18.85486559,10,92.8
2008,Female,F3,2.7291666666666700,18.85486559,18,96.9444444444444
2008,Male,M1,2.7291666666666700,18.85486559,6,84.8333333333333
2008,Male,M2,2.7291666666666700,18.85486559,16,96.125
2008,Male,M3,2.7291666666666700,18.85486559,26,101
2009,Female,F1,1.562500,18.13803763,7,84
2009,Female,F2,1.562500,18.13803763,14,90.7142857142857
2009,Female,F3,1.562500,18.13803763,4,93.75
2009,Male,M1,1.562500,18.13803763,5,85
2009,Male,M2,1.562500,18.13803763,9,93.6666666666667
2009,Male,M3,1.562500,18.13803763,7,102.857142857143
2010,Female,F1,1.7789870238593600,17.0969086,7,86.4285714285714
2010,Female,F2,1.7789870238593600,17.0969086,7,92.7142857142857
2010,Female,F3,1.7789870238593600,17.0969086,5,92
2010,Male,M1,1.7789870238593600,17.0969086,16,83.9375
2010,Male,M2,1.7789870238593600,17.0969086,9,95.3333333333333
2010,Male,M3,1.7789870238593600,17.0969086,9,98.1111111111111
2011,Female,F1,2.9791666666666700,17.58043011,14,83.0714285714286
2011,Female,F2,2.9791666666666700,17.58043011,16,89.3125
2011,Female,F3,2.9791666666666700,17.58043011,8,95
2011,Male,M1,2.9791666666666700,17.58043011,34,87.1764705882353
2011,Male,M2,2.9791666666666700,17.58043011,24,93.7916666666667
2011,Male,M3,2.9791666666666700,17.58043011,16,101.625
2012,Female,F1,4.0208333333333300,18.11892473,26,82.3076923076923
2012,Female,F2,4.0208333333333300,18.11892473,10,91.6
2012,Female,F3,4.0208333333333300,18.11892473,14,97.3571428571429
2012,Male,M1,4.0208333333333300,18.11892473,32,84.28125
2012,Male,M2,4.0208333333333300,18.11892473,20,94.65
2012,Male,M3,4.0208333333333300,18.11892473,33,99.7878787878788
2013,Female,F1,4.2500,19.10443548,29,84.1034482758621
2013,Female,F2,4.2500,19.10443548,28,92.4642857142857
2013,Female,F3,4.2500,19.10443548,16,101.0625
2013,Male,M1,4.2500,19.10443548,26,84.8076923076923
2013,Male,M2,4.2500,19.10443548,24,94.0416666666667
2013,Male,M3,4.2500,19.10443548,41,100.487804878049
2014,Female,F1,7.1041666666666700,18.48083333,44,84.8409090909091
2014,Female,F2,7.1041666666666700,18.48083333,35,93.4
2014,Female,F3,7.1041666666666700,18.48083333,34,98.3235294117647
2014,Male,M1,7.1041666666666700,18.48083333,53,85.3396226415094
2014,Male,M2,7.1041666666666700,18.48083333,39,95.3333333333333
2014,Male,M3,7.1041666666666700,18.48083333,46,100.239130434783
2015,Female,F1,7.5208333333333300,19.33553763,51,88
2015,Female,F2,7.5208333333333300,19.33553763,35,96.2285714285714
2015,Female,F3,7.5208333333333300,19.33553763,28,100.928571428571
2015,Male,M1,7.5208333333333300,19.33553763,52,89.3269230769231
2015,Male,M2,7.5208333333333300,19.33553763,61,99.1147540983606
2015,Male,M3,7.5208333333333300,19.33553763,58,107.844827586207
2016,Female,F1,6.812500,19.18424731,46,87.195652173913
2016,Female,F2,6.812500,19.18424731,35,98.3428571428571
2016,Female,F3,6.812500,19.18424731,34,103.352941176471
2016,Male,M1,6.812500,19.18424731,48,89.6458333333333
2016,Male,M2,6.812500,19.18424731,48,100.208333333333
2016,Male,M3,6.812500,19.18424731,53,108.150943396226
2017,Female,F1,6.4166666666666700,18.26524194,59,90.3559322033898
2017,Female,F2,6.4166666666666700,18.26524194,39,99.6410256410256
2017,Female,F3,6.4166666666666700,18.26524194,28,105.285714285714
2017,Male,M1,6.4166666666666700,18.26524194,32,90.8125
2017,Male,M2,6.4166666666666700,18.26524194,38,101.131578947368
2017,Male,M3,6.4166666666666700,18.26524194,63,110.126984126984
2018,Female,F1,4.063829800,20.32167,33,88.6666666666667
2018,Female,F2,4.063829800,20.32167,33,99.1818181818182
2018,Female,F3,4.063829800,20.32167,9,105.666666666667
2018,Male,M1,4.063829800,20.32167,42,89.6666666666667
2018,Male,M2,4.063829800,20.32167,28,100.928571428571
2018,Male,M3,4.063829800,20.32167,17,109.176470588235